idx,step,amount,isFraud,amount_log,day,hour,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
1218613,213,99228.97,0,11.505205,8,21,False,False,False,False,True
1608906,276,92458.26,0,11.434534,11,12,False,True,False,False,False
935949,183,192132.69,0,12.165952,7,15,False,True,False,False,False
866202,178,128201.23,0,11.761372,7,10,False,True,False,False,False
529609,133,16227.59,0,9.6945915,5,13,False,False,False,False,True
1056871,202,82709.5,0,11.323114,8,10,False,True,False,False,False
1899841,308,271487.88,0,12.511681,12,20,False,True,False,False,False
740759,159,364803.44,0,12.807119,6,15,False,True,False,False,False
447997,46,328925.47,0,12.703592,1,22,False,True,False,False,False
1563059,260,231551.23,0,12.352565,10,20,False,True,False,False,False
1627210,278,267898.38,0,12.49837,11,14,False,True,False,False,False
101850,14,582898.25,0,13.275771,0,14,False,False,False,False,True
2149347,350,127801.23,0,11.758247,14,14,False,True,False,False,False
499160,131,63132.47,0,11.053022,5,11,False,True,False,False,False
407590,43,98444.88,0,11.4972725,1,19,False,True,False,False,False
439481,45,152520.77,0,11.935069,1,21,False,True,False,False,False
1482223,254,262043.23,0,12.476273,10,14,False,True,False,False,False
132494,15,180951.2,0,12.105993,0,15,False,True,False,False,False
998792,187,101904.4,0,11.53181,7,19,False,True,False,False,False
535126,133,34039.31,0,10.43533,5,13,False,True,False,False,False
781938,162,308233.75,0,12.63862,6,18,False,True,False,False,False
1261407,228,119733.89,0,11.693044,9,12,False,True,False,False,False
940826,184,197858.9,0,12.195319,7,16,False,True,False,False,False
1216883,213,20509.14,0,9.928723,8,21,False,True,False,False,False
1118517,206,268049.2,0,12.498933,8,14,False,False,False,False,True
2263695,359,193049.1,0,12.170711,14,23,False,True,False,False,False
1271523,228,1010447.6,0,13.825906,9,12,False,False,False,False,True
2407238,380,1304118.1,0,14.081039,15,20,False,False,False,False,True
753602,160,68220.92,0,11.130536,6,16,False,True,False,False,False
1335388,234,170483.81,0,12.046408,9,18,False,True,False,False,False
936046,183,127838.27,0,11.758537,7,15,False,True,False,False,False
225763,20,219730.66,0,12.300167,0,20,False,True,False,False,False
50208,11,148383.69,0,11.90757,0,11,False,False,False,False,True
2349023,376,116811.24,0,11.668332,15,16,False,True,False,False,False
2725849,597,32518.15,0,10.389615,24,21,False,True,False,False,False
2051215,331,23878.7,0,10.080826,13,19,False,True,False,False,False
2481661,397,273003.25,0,12.517246,16,13,False,True,False,False,False
1624790,277,119815.48,0,11.693725,11,13,False,True,False,False,False
2026434,329,275841.4,0,12.527589,13,17,False,True,False,False,False
222897,20,376232.7,0,12.837969,0,20,False,True,False,False,False
1711361,284,1416.73,0,7.2575173,11,20,False,True,False,False,False
2702134,574,475222.6,0,13.071543,23,22,False,False,False,False,True
477607,130,325744.56,0,12.693875,5,10,False,True,False,False,False
1842232,305,988122.25,0,13.803564,12,17,False,False,False,False,True
2381120,379,62187.61,0,11.037943,15,19,False,True,False,False,False
742719,159,360429.47,0,12.795057,6,15,False,True,False,False,False
318024,37,56465.12,0,10.941414,1,13,False,True,False,False,False
288423,35,194639.0,0,12.178912,1,11,False,True,False,False,False
1210326,212,111389.52,0,11.620807,8,20,False,True,False,False,False
1779375,300,276926.84,0,12.531516,12,12,False,True,False,False,False
2342514,375,132926.3,0,11.797565,15,15,False,True,False,False,False
605751,138,209870.9,0,12.254257,5,18,False,True,False,False,False
471592,129,201199.19,0,12.212061,5,9,False,True,False,False,False
235969,20,235849.84,0,12.370959,0,20,False,True,False,False,False
1231783,225,282519.84,0,12.551511,9,9,False,True,False,False,False
1684265,282,137685.55,0,11.832743,11,18,False,True,False,False,False
1529308,258,632804.7,0,13.357921,10,18,False,False,False,False,True
935306,183,208441.45,0,12.247423,7,15,False,True,False,False,False
2203638,354,265681.16,0,12.49006,14,18,False,False,False,False,True
1534259,259,35319.28,0,10.472241,10,19,False,True,False,False,False
545399,134,13708.79,0,9.525938,5,14,False,True,False,False,False
2357368,377,17945.71,0,9.7952175,15,17,False,True,False,False,False
1146537,208,380225.38,0,12.848525,8,16,False,True,False,False,False
1206736,212,25035.13,0,10.128116,8,20,False,True,False,False,False
2188217,353,1214986.8,0,14.010245,14,17,False,False,False,False,True
708695,156,462518.25,0,13.044446,6,12,False,True,False,False,False
2586043,404,102636.04,0,11.538964,16,20,False,True,False,False,False
2350849,376,202134.69,0,12.2167,15,16,False,True,False,False,False
2571379,403,328758.5,0,12.703085,16,19,False,False,False,False,True
2096070,345,217098.84,0,12.288117,14,9,False,True,False,False,False
1697351,283,124345.05,0,11.730832,11,19,False,True,False,False,False
2574402,403,21.69,0,3.1650531,16,19,False,True,False,False,False
449641,46,347362.3,0,12.758129,1,22,False,False,False,False,True
1349707,235,768631.4,0,13.552369,9,19,False,False,False,False,True
845410,167,86707.34,0,11.3703165,6,23,False,True,False,False,False
2027127,329,214637.3,0,12.276714,13,17,False,False,False,False,True
2320628,373,633934.4,0,13.359704,15,13,False,False,False,False,True
497843,131,354402.9,0,12.778195,5,11,False,False,False,False,True
344445,39,318459.66,0,12.671257,1,15,False,True,False,False,False
714814,157,262376.7,0,12.477544,6,13,False,True,False,False,False
1195849,211,342877.7,0,12.745135,8,19,False,True,False,False,False
2504034,399,127021.27,0,11.752126,16,15,False,False,False,False,True
2205092,354,1882666.9,0,14.448201,14,18,False,False,False,False,True
1686904,282,18285.42,0,9.813969,11,18,False,True,False,False,False
2030549,330,1423.09,0,7.26199,13,18,False,True,False,False,False
274202,34,4541.28,0,8.421405,1,10,False,True,False,False,False
770585,161,114945.8,0,11.652233,6,17,False,True,False,False,False
876067,179,262768.3,0,12.479035,7,11,False,True,False,False,False
2298060,372,145763.81,0,11.889756,15,12,False,True,False,False,False
1581149,273,102703.21,0,11.5396185,11,9,False,False,False,False,True
756509,160,124565.24,0,11.732601,6,16,False,True,False,False,False
280811,35,1027.4,0,6.9367313,1,11,False,False,False,False,True
472983,129,337392.12,0,12.729007,5,9,False,False,False,False,True
708083,156,44251.53,0,10.697691,6,12,False,True,False,False,False
1019428,188,218207.03,0,12.293209,7,20,False,True,False,False,False
931958,183,32326.14,0,10.383694,7,15,False,True,False,False,False
1840812,305,97136.17,0,11.48389,12,17,False,True,False,False,False
1438296,251,361882.78,0,12.799081,10,11,False,True,False,False,False
2324274,374,82719.34,0,11.323233,15,14,False,True,False,False,False
1020627,188,212982.52,0,12.268974,7,20,False,False,False,False,True
664139,153,358682.53,0,12.790198,6,9,False,True,False,False,False
1388825,237,135582.56,0,11.81735,9,21,False,True,False,False,False
1560640,260,155918.84,0,11.957104,10,20,False,True,False,False,False
2668794,538,181235.3,0,12.107562,22,10,False,True,False,False,False
657354,142,205863.72,0,12.23498,5,22,False,True,False,False,False
15176,9,59134.19,0,10.987598,0,9,False,True,False,False,False
140562,16,208336.2,0,12.246918,0,16,False,True,False,False,False
1755870,299,473355.1,0,13.067605,12,11,False,True,False,False,False
2339076,375,558895.25,0,13.233721,15,15,False,True,False,False,False
1891084,308,133779.77,0,11.803966,12,20,False,True,False,False,False
990735,186,38789.72,0,10.565962,7,18,False,True,False,False,False
1364962,235,30297.61,0,10.318891,9,19,False,True,False,False,False
1587106,274,42014.66,0,10.645822,11,10,False,True,False,False,False
1143001,208,1421936.9,0,14.167532,8,16,False,False,False,False,True
2209131,354,141126.98,0,11.8574295,14,18,False,True,False,False,False
1568325,261,166638.02,0,12.023591,10,21,False,True,False,False,False
2030907,330,3768.48,0,8.234958,13,18,False,True,False,False,False
1548869,259,162518.67,0,11.998561,10,19,False,True,False,False,False
3611,8,98234.73,0,11.495135,0,8,False,False,False,False,True
1370495,236,721809.8,0,13.48952,9,20,False,False,False,False,True
722390,157,395720.97,0,12.88847,6,13,False,True,False,False,False
150493,16,236598.0,0,12.374126,0,16,False,True,False,False,False
403873,43,81866.88,0,11.312874,1,19,False,True,False,False,False
2140323,349,104447.57,0,11.556459,14,13,False,True,False,False,False
97430,14,63241.02,0,11.05474,0,14,False,True,False,False,False
871117,179,106489.33,0,11.575819,7,11,False,True,False,False,False
1628654,278,528103.25,0,13.177051,11,14,False,True,False,False,False
1921399,321,113062.27,0,11.635712,13,9,False,True,False,False,False
727323,158,129743.02,0,11.773327,6,14,False,False,False,False,True
1299430,230,152082.02,0,11.932188,9,14,False,True,False,False,False
1862157,306,125511.82,0,11.740171,12,18,False,True,False,False,False
2104840,346,330997.1,0,12.709871,14,10,False,True,False,False,False
2708486,589,118089.2,0,11.679213,24,13,False,True,False,False,False
1310720,231,274023.47,0,12.520976,9,15,False,True,False,False,False
21735,9,128256.92,0,11.7618065,0,9,False,True,False,False,False
1193281,211,140529.8,0,11.853189,8,19,False,True,False,False,False
2291400,371,179524.34,0,12.098077,15,11,False,True,False,False,False
1451413,252,148611.31,0,11.909103,10,12,False,True,False,False,False
619169,139,126439.56,0,11.747536,5,19,False,True,False,False,False
1688579,283,53617.14,0,10.889662,11,19,False,True,False,False,False
655644,142,117863.07,0,11.677296,5,22,False,False,False,False,True
2518520,400,142122.97,0,11.864462,16,16,False,True,False,False,False
89055,13,1149162.4,0,13.954546,0,13,False,False,False,False,True
76091,13,224500.38,0,12.321642,0,13,False,True,False,False,False
1053729,202,240205.66,0,12.389259,8,10,False,True,False,False,False
2190025,353,168981.44,0,12.037556,14,17,False,True,False,False,False
1486090,255,1266305.6,0,14.051616,10,15,False,False,False,False,True
369956,41,620030.3,0,13.337527,1,17,False,False,False,False,True
2249168,356,67790.19,0,11.124203,14,20,False,True,False,False,False
2390280,379,165793.66,0,12.018512,15,19,False,True,False,False,False
679895,154,24583.36,0,10.109906,6,10,False,True,False,False,False
268827,34,68631.04,0,11.136529,1,10,False,True,False,False,False
1059529,202,936187.1,0,13.749573,8,10,False,False,False,False,True
1793505,301,282309.72,0,12.550767,12,13,False,True,False,False,False
1720553,285,86452.39,0,11.3673725,11,21,False,True,False,False,False
540734,134,33127.8,0,10.408189,5,14,False,True,False,False,False
49780,11,176330.9,0,12.080129,0,11,False,True,False,False,False
2051105,331,368620.62,0,12.817529,13,19,False,False,False,False,True
2715498,592,74716.01,0,11.221477,24,16,False,True,False,False,False
2708171,589,32478.32,0,10.38839,24,13,False,True,False,False,False
2423225,382,106968.9,0,11.580312,15,22,False,False,False,False,True
2060438,331,559264.25,0,13.234381,13,19,False,True,False,False,False
1545328,259,93159.34,0,11.442088,10,19,False,True,False,False,False
94889,14,798103.4,0,13.589996,0,14,False,False,False,False,True
1135761,207,189055.33,0,12.149806,8,15,False,True,False,False,False
101030,14,270881.6,0,12.509444,0,14,False,True,False,False,False
952160,184,101597.22,0,11.528791,7,16,False,True,False,False,False
958380,185,242465.48,0,12.3986225,7,17,False,True,False,False,False
2700023,571,172149.38,0,12.056129,23,19,False,True,False,False,False
1514967,257,90109.02,0,11.408798,10,17,False,True,False,False,False
1428167,251,715312.9,0,13.480478,10,11,False,False,False,False,True
2472233,396,479102.34,0,13.079674,16,12,False,True,False,False,False
2234563,355,36360.58,0,10.501295,14,19,False,True,False,False,False
2070485,332,1664486.1,0,14.325028,13,20,False,False,False,False,True
2751398,687,138491.23,0,11.838576,28,15,False,True,False,False,False
1906676,309,141331.42,0,11.858877,12,21,False,True,False,False,False
1449553,252,275747.84,0,12.527249,10,12,False,True,False,False,False
551119,134,226912.0,0,12.332326,5,14,False,True,False,False,False
1983233,326,76198.28,0,11.24112,13,14,False,False,False,False,True
2744752,683,32927.08,0,10.402111,28,11,False,True,False,False,False
453373,48,197257.84,0,12.192277,2,0,False,True,False,False,False
1381679,236,138615.06,0,11.839471,9,20,False,True,False,False,False
744836,159,787492.7,0,13.5766115,6,15,False,False,False,False,True
1894844,308,54490.11,0,10.905811,12,20,False,True,False,False,False
872581,179,89149.77,0,11.398095,7,11,False,True,False,False,False
589998,137,179989.83,0,12.100667,5,17,False,True,False,False,False
2251722,356,7084.12,0,8.865893,14,20,False,False,False,False,True
542369,134,103296.3,0,11.545376,5,14,False,True,False,False,False
2421603,382,241175.16,0,12.393287,15,22,False,False,False,False,True
142042,16,59819.28,0,10.999117,0,16,False,True,False,False,False
2631667,471,230019.9,0,12.34593,19,15,False,True,False,False,False
2617701,420,154925.38,0,11.950712,17,12,False,True,False,False,False
73539,12,717863.56,0,13.484037,0,12,False,True,False,False,False
2019595,329,393182.47,0,12.882034,13,17,False,True,False,False,False
1778252,300,39579.35,0,10.586113,12,12,False,True,False,False,False
1235657,226,255812.55,0,12.4522085,9,10,False,True,False,False,False
790374,162,160032.62,0,11.983146,6,18,False,True,False,False,False
303497,36,169205.38,0,12.03888,1,12,False,True,False,False,False
2166662,351,317420.06,0,12.667988,14,15,False,True,False,False,False
68691,12,273921.9,0,12.520606,0,12,False,True,False,False,False
1483731,255,302512.9,0,12.619885,10,15,False,False,False,False,True
1696250,283,138339.95,0,11.837483,11,19,False,True,False,False,False
807689,163,111232.87,0,11.619399,6,19,False,True,False,False,False
978224,186,142991.27,0,11.870553,7,18,False,True,False,False,False
1186238,211,52514.59,0,10.868884,8,19,False,True,False,False,False
331862,38,307439.72,0,12.636041,1,14,False,True,False,False,False
2420863,381,951864.06,0,13.76618,15,21,False,False,False,False,True
1664211,281,306462.28,0,12.632856,11,17,False,True,False,False,False
406085,43,159679.73,0,11.980938,1,19,False,False,False,False,True
219942,20,128539.73,0,11.7640085,0,20,False,True,False,False,False
2049500,331,95747.84,0,11.469494,13,19,False,True,False,False,False
1498800,256,132421.19,0,11.793758,10,16,False,True,False,False,False
2688317,551,432281.03,0,12.976836,22,23,False,False,False,False,True
2186754,353,110111.39,0,11.609266,14,17,False,False,False,False,True
1618926,277,104009.63,0,11.5522585,11,13,False,True,False,False,False
2654759,522,73678.02,0,11.207487,21,18,False,True,False,False,False
339968,39,725943.9,0,13.495231,1,15,False,True,False,False,False
1439824,252,305350.4,0,12.629222,10,12,False,False,False,False,True
2056461,331,1403736.5,0,14.15465,13,19,False,False,False,False,True
537532,133,273538.53,0,12.519205,5,13,False,True,False,False,False
1370659,236,82541.25,0,11.321077,9,20,False,True,False,False,False
802109,163,74120.93,0,11.21348,6,19,False,False,False,False,True
649129,141,255619.48,0,12.451453,5,21,False,True,False,False,False
2559661,402,32118.73,0,10.377257,16,18,False,True,False,False,False
1692562,283,187371.11,0,12.140857,11,19,False,False,False,False,True
1662196,281,189309.86,0,12.151151,11,17,False,True,False,False,False
1126759,206,37175.39,0,10.523457,8,14,False,True,False,False,False
2553189,402,256367.05,0,12.454373,16,18,False,True,False,False,False
2542190,401,182604.38,0,12.115088,16,17,False,True,False,False,False
1998228,327,47376.08,0,10.765915,13,15,False,True,False,False,False
2484833,397,741965.8,0,13.517061,16,13,False,False,False,False,True
2424237,382,62465.13,0,11.042396,15,22,False,True,False,False,False
1806515,302,67404.39,0,11.118495,12,14,False,False,False,False,True
679837,154,249796.77,0,12.428411,6,10,False,True,False,False,False
137506,16,925661.0,0,13.738266,0,16,False,False,False,False,True
998290,187,142195.81,0,11.864974,7,19,False,False,False,False,True
640550,140,35218.54,0,10.469385,5,20,False,True,False,False,False
1479789,254,385373.03,0,12.861972,10,14,False,True,False,False,False
2759134,691,137521.23,0,11.831548,28,19,False,True,False,False,False
1150684,208,304201.12,0,12.625451,8,16,False,True,False,False,False
1310378,231,253129.7,0,12.441666,9,15,False,True,False,False,False
2463631,396,1085295.0,0,13.897365,16,12,False,False,False,False,True
736992,159,71834.64,0,11.18215,6,15,False,True,False,False,False
1678547,282,50829.46,0,10.83627,11,18,False,True,False,False,False
905807,181,31603.68,0,10.361093,7,13,False,True,False,False,False
1286907,229,493440.84,0,13.109162,9,13,False,True,False,False,False
610509,138,38961.1,0,10.570371,5,18,False,True,False,False,False
1847655,305,242671.31,0,12.399471,12,17,False,True,False,False,False
1019199,188,171596.1,0,12.052911,7,20,False,True,False,False,False
1360085,235,6193.02,0,8.731501,9,19,False,True,False,False,False
532525,133,1273461.0,0,14.057251,5,13,False,False,False,False,True
681024,154,176389.97,0,12.080464,6,10,False,True,False,False,False
1666902,281,260603.42,0,12.470763,11,17,False,True,False,False,False
1695348,283,12509.79,0,9.434426,11,19,False,True,False,False,False
1275227,228,365219.62,0,12.80826,9,12,False,True,False,False,False
560400,135,648650.8,0,13.382653,5,15,False,False,False,False,True
1674978,282,73435.69,0,11.204192,11,18,False,True,False,False,False
203429,19,303051.38,0,12.621664,0,19,False,True,False,False,False
1291166,230,99336.82,0,11.506291,9,14,False,True,False,False,False
2378736,378,8114.63,0,9.00167,15,18,False,True,False,False,False
1573062,261,86673.86,0,11.36993,10,21,False,True,False,False,False
2489231,398,71807.74,0,11.181775,16,14,False,True,False,False,False
1794087,301,1468437.4,0,14.199711,12,13,False,False,False,False,True
1305587,231,121347.07,0,11.706427,9,15,False,True,False,False,False
64140,12,176213.77,0,12.079465,0,12,False,True,False,False,False
1627146,278,104530.0,0,11.557248,11,14,False,True,False,False,False
1072863,203,120764.66,0,11.701615,8,11,False,True,False,False,False
789293,162,22134.21,0,10.004971,6,18,False,True,False,False,False
2436440,393,114146.47,0,11.645255,16,9,False,True,False,False,False
1264881,228,251840.33,0,12.436559,9,12,False,True,False,False,False
62547,12,302261.97,0,12.619056,0,12,False,True,False,False,False
338580,39,142884.48,0,11.869805,1,15,False,True,False,False,False
2525970,400,42845.99,0,10.665414,16,16,False,True,False,False,False
507746,132,23193.61,0,10.051719,5,12,False,True,False,False,False
267019,34,288516.2,0,12.572514,1,10,False,True,False,False,False
578540,136,160820.12,0,11.988054,5,16,False,True,False,False,False
280477,35,583929.8,0,13.277539,1,11,False,True,False,False,False
1187066,211,178819.84,0,12.094146,8,19,False,True,False,False,False
121124,15,79953.53,0,11.289226,0,15,False,False,False,False,True
2034591,330,206404.06,0,12.2376,13,18,False,True,False,False,False
2697463,570,152421.66,0,11.93442,23,18,False,True,False,False,False
2440686,394,261221.44,0,12.473131,16,10,False,True,False,False,False
1302100,231,119856.16,0,11.694064,9,15,False,True,False,False,False
573632,136,127134.88,0,11.753019,5,16,False,False,False,False,True
1113016,205,100348.93,0,11.516429,8,13,False,True,False,False,False
811307,163,177500.8,0,12.086741,6,19,False,True,False,False,False
1368929,235,31807.34,0,10.367516,9,19,False,True,False,False,False
253448,33,173248.48,0,12.062493,1,9,False,True,False,False,False
2302124,372,353172.3,0,12.774717,15,12,False,True,False,False,False
2568020,403,419766.38,0,12.947458,16,19,False,False,False,False,True
2085838,334,154481.25,0,11.947841,13,22,False,False,False,False,True
1083797,204,215602.08,0,12.281199,8,12,False,True,False,False,False
1006599,187,236537.75,0,12.373872,7,19,False,True,False,False,False
979403,186,176842.38,0,12.083025,7,18,False,True,False,False,False
1269014,228,11759.45,0,9.372582,9,12,False,True,False,False,False
565442,135,249250.19,0,12.426221,5,15,False,False,False,False,True
1294066,230,12538.83,0,9.436745,9,14,False,True,False,False,False
858384,178,72601.39,0,11.192767,7,10,False,True,False,False,False
2716661,594,40871.11,0,10.618228,24,18,False,True,False,False,False
680606,154,53577.97,0,10.88893,6,10,False,True,False,False,False
1323780,232,139263.81,0,11.84414,9,16,False,True,False,False,False
2498281,398,262519.5,0,12.478088,16,14,False,True,False,False,False
2143585,349,460541.16,0,13.040162,14,13,False,True,False,False,False
659805,143,3616319.2,0,15.100967,5,23,False,False,False,False,True
1039932,190,401914.9,0,12.904,7,22,False,False,False,False,True
1254816,227,130730.16,0,11.780906,9,11,False,True,False,False,False
330186,38,48215.04,0,10.783468,1,14,False,True,False,False,False
2107604,346,122520.82,0,11.716053,14,10,False,True,False,False,False
2064746,332,75059.18,0,11.226059,13,20,False,True,False,False,False
2305950,372,362581.78,0,12.801011,15,12,False,True,False,False,False
255916,33,347530.2,0,12.758613,1,9,False,True,False,False,False
2629193,469,115594.93,0,11.657865,19,13,False,True,False,False,False
1647642,279,207937.27,0,12.245002,11,15,False,True,False,False,False
1459110,253,112934.23,0,11.634579,10,13,False,True,False,False,False
669316,153,179856.25,0,12.099924,6,9,False,True,False,False,False
1105809,205,18070.34,0,9.802138,8,13,False,True,False,False,False
372792,41,27472.02,0,10.220996,1,17,False,True,False,False,False
1184327,211,1651781.8,0,14.317367,8,19,False,False,False,False,True
741231,159,49427.97,0,10.808312,6,15,False,True,False,False,False
1861357,306,26792.99,0,10.195971,12,18,False,True,False,False,False
235368,20,7531.23,0,8.927079,0,20,False,True,False,False,False
1343943,234,359592.5,0,12.792732,9,18,False,False,False,False,True
1371267,236,238516.62,0,12.382203,9,20,False,True,False,False,False
776304,161,246835.58,0,12.416486,6,17,False,True,False,False,False
2358446,377,28529.56,0,10.258766,15,17,False,True,False,False,False
1658847,280,163695.38,0,12.0057745,11,16,False,True,False,False,False
2198699,353,12816.93,0,9.458678,14,17,False,True,False,False,False
350634,40,305362.25,0,12.629261,1,16,False,False,False,False,True
1154221,208,131263.56,0,11.784978,8,16,False,True,False,False,False
283065,35,148968.05,0,11.911501,1,11,False,True,False,False,False
1234478,225,210415.69,0,12.25685,9,9,False,True,False,False,False
703990,156,202417.03,0,12.218095,6,12,False,True,False,False,False
1273295,228,585471.5,0,13.280176,9,12,False,True,False,False,False
2295898,372,20595.01,0,9.932901,15,12,False,False,False,False,True
1063402,202,425859.84,0,12.96187,8,10,False,True,False,False,False
1633541,278,682289.94,0,13.433213,11,14,False,False,False,False,True
844821,167,853593.5,0,13.657213,6,23,False,False,False,False,True
612872,139,1033553.8,0,13.8485155,5,19,False,False,False,False,True
186355,18,209421.33,0,12.252113,0,18,False,True,False,False,False
2343813,375,224964.62,0,12.323708,15,15,False,False,False,False,True
1625795,277,177730.66,0,12.088036,11,13,False,True,False,False,False
349624,40,96398.81,0,11.47627,1,16,False,True,False,False,False
1607972,276,158999.8,0,11.976671,11,12,False,True,False,False,False
1173640,210,698121.3,0,13.456151,8,18,False,False,False,False,True
2077080,332,10924.31,0,9.298929,13,20,False,True,False,False,False
1024107,188,244008.12,0,12.404965,7,20,False,True,False,False,False
1698375,283,90623.02,0,11.414486,11,19,False,True,False,False,False
2078695,332,1812200.8,0,14.410053,13,20,False,False,False,False,True
926611,183,247932.34,0,12.420919,7,15,False,True,False,False,False
1728412,287,2745.12,0,7.9183083,11,23,False,True,False,False,False
2750130,687,112231.05,0,11.628333,28,15,False,True,False,False,False
1250091,227,87765.09,0,11.3824415,9,11,False,False,False,False,True
360464,40,153160.48,0,11.939255,1,16,False,True,False,False,False
353828,40,203412.16,0,12.223,1,16,False,True,False,False,False
1562421,260,416086.88,0,12.938654,10,20,False,True,False,False,False
1412841,250,1584970.2,0,14.276077,10,10,False,False,False,False,True
2560789,402,148805.45,0,11.910409,16,18,False,True,False,False,False
2009467,328,127754.78,0,11.757884,13,16,False,True,False,False,False
2678349,545,209998.44,0,12.254865,22,17,False,True,False,False,False
943616,184,88255.61,0,11.388015,7,16,False,True,False,False,False
1201509,212,191430.52,0,12.162291,8,20,False,True,False,False,False
395868,42,51412.37,0,10.847673,1,18,False,True,False,False,False
2608791,406,67503.37,0,11.119963,16,22,False,True,False,False,False
300813,36,295065.1,0,12.594958,1,12,False,True,False,False,False
2020992,329,451861.25,0,13.021135,13,17,False,False,False,False,True
2393071,379,192204.22,0,12.166325,15,19,False,True,False,False,False
177701,18,430837.16,0,12.97349,0,18,False,True,False,False,False
2104118,346,9781.26,0,9.188428,14,10,False,True,False,False,False
525788,133,585932.6,0,13.280964,5,13,False,False,False,False,True
37044,10,653691.25,0,13.390393,0,10,False,True,False,False,False
1816085,303,165460.58,0,12.0165,12,15,False,False,False,False,True
1992929,327,330520.25,0,12.708429,13,15,False,True,False,False,False
2629482,469,95000.81,0,11.461662,19,13,False,True,False,False,False
2109309,347,1618799.5,0,14.297196,14,11,False,False,False,False,True
1125128,206,136819.4,0,11.826432,8,14,False,True,False,False,False
1470988,254,129872.62,0,11.774324,10,14,False,True,False,False,False
310985,37,355109.47,0,12.780187,1,13,False,True,False,False,False
1518480,257,119433.37,0,11.690531,10,17,False,True,False,False,False
550545,134,59761.39,0,10.998149,5,14,False,True,False,False,False
573994,136,100959.99,0,11.522499,5,16,False,True,False,False,False
26123,9,22682.93,0,10.029456,0,9,False,True,False,False,False
2095600,345,78335.97,0,11.268787,14,9,False,True,False,False,False
1865921,306,12550.09,0,9.437642,12,18,False,True,False,False,False
467527,129,239018.36,0,12.384304,5,9,False,True,False,False,False
746190,159,177940.2,0,12.089214,6,15,False,True,False,False,False
1045892,201,438508.3,0,12.991138,8,9,False,True,False,False,False
2370440,378,116147.01,0,11.662629,15,18,False,True,False,False,False
2150138,350,168310.9,0,12.03358,14,14,False,True,False,False,False
2443051,394,67775.05,0,11.123979,16,10,False,True,False,False,False
896105,181,249343.69,0,12.426596,7,13,False,True,False,False,False
2409456,380,78478.04,0,11.270599,15,20,False,True,False,False,False
2365457,378,64621.55,0,11.076334,15,18,False,True,False,False,False
1906581,309,333615.53,0,12.717751,12,21,False,True,False,False,False
1876001,307,6572.07,0,8.790889,12,19,False,True,False,False,False
1901806,308,28564.86,0,10.260002,12,20,False,True,False,False,False
