idx,model_if,model_svm,ml_score,ml_supervised,shap_top_features
31,0.5380376202241757,0.9980246230689195,0.8854546849733179,0.89951444,"idx,amount,step,type_PAYMENT,nameDest_M5"
32,0.6647255412184183,0.9980118146347563,0.7417097266876772,0.0020192694,"idx,amount,step,type_PAYMENT,nameDest_M5"
33,0.6690278175287722,0.998224474877833,0.7438925358889915,0.002770926,"idx,amount,step,type_PAYMENT,nameDest_M5"
34,0.4478835502619003,0.9980853192457347,0.6455607781949563,0.004696865,"idx,amount,step,type_PAYMENT,nameDest_M5"
35,0.38218648399520155,0.9982104937852642,0.6164108096646479,0.005214807,"idx,amount,step,type_PAYMENT,nameDest_M5"
36,0.3281643797191512,0.9983569706750132,0.5913997080893257,0.0008871699,"idx,amount,step,type_PAYMENT,nameDest_M5"
37,0.6746974898508766,0.9986314221710628,0.7593557754044331,0.059911028,"idx,amount,step,type_PAYMENT,nameDest_M5"
38,0.43215453813214955,0.9983827655617167,0.6587489577753152,0.09465841,"idx,amount,step,type_PAYMENT,nameDest_M5"
39,0.4020096345057013,0.9993387618046461,0.6251332623447271,0.0023987268,"idx,amount,step,type_PAYMENT,nameDest_M5"
40,0.3969111814056453,0.9238775324768848,0.5902399103599127,0.0071551967,"idx,amount,step,type_PAYMENT,nameDest_M5"
41,0.3903453657400666,0.9981469761936987,0.6445602194169142,0.11516625,"idx,amount,step,type_PAYMENT,nameDest_M5"
42,0.8255119469076185,0.9983705443673213,0.8133648522612816,0.00082749466,"idx,amount,step,type_PAYMENT,nameDest_M5"
43,0.4343402521525023,0.9976271034669467,0.6433106818131317,0.022616837,"idx,amount,step,type_PAYMENT,nameDest_M5"
44,0.29545347994782895,0.9976685925720457,0.577505560555236,0.0054237475,"idx,amount,step,type_PAYMENT,nameDest_M5"
45,0.7708839689743976,0.9994589491443829,0.7920734415433662,0.0124963,"idx,amount,step,type_PAYMENT,nameDest_M5"
46,0.8156076225600033,0.9998428197104733,0.8105805800775782,0.005214807,"idx,amount,step,type_PAYMENT,nameDest_M5"
47,0.5336389194151825,0.998180688537006,0.6829121952183553,0.0003732798,"idx,amount,step,type_PAYMENT,nameDest_M5"
48,0.43361746872430856,0.9997582472640282,0.6409373344278947,0.009164754,"idx,amount,step,type_PAYMENT,nameDest_M5"
49,0.5183887002965961,0.9983773715646702,0.6788989422261978,0.0124963,"idx,amount,step,type_PAYMENT,nameDest_M5"
50,0.7679811593691691,0.9975497013730099,0.7872607403736951,0.00055390305,"idx,amount,step,type_PAYMENT,nameDest_M5"
51,0.4260857897700272,0.9984452679683877,0.6359928162566125,0.004696865,"idx,amount,step,type_PAYMENT,nameDest_M5"
52,0.3874338937094644,0.9982975902546516,0.6191977932442193,0.0070347306,"idx,amount,step,type_PAYMENT,nameDest_M5"
53,0.43769742474379075,0.9978391868717439,0.6410203138205542,0.005214807,"idx,amount,step,type_PAYMENT,nameDest_M5"
54,0.48307783088342604,0.9979446244702223,0.6602551171775004,0.0004374624,"idx,amount,step,type_PAYMENT,nameDest_M5"
55,0.36291114881213143,0.998105762724296,0.6072514350997957,0.0029302642,"idx,amount,step,type_PAYMENT,nameDest_M5"
56,0.578337296618682,0.9994968491765914,0.7049624825814605,0.0071551967,"idx,amount,step,type_PAYMENT,nameDest_M5"
57,0.6003721080625446,0.9999810474122208,0.7138741408860952,0.0020517958,"idx,amount,step,type_PAYMENT,nameDest_M5"
58,0.3710045760193228,0.9982318807828597,0.6104506742620132,0.00082749466,"idx,amount,step,type_PAYMENT,nameDest_M5"
59,0.686905310851548,0.9983548071062369,0.7516300099626821,0.0014281791,"idx,amount,step,type_PAYMENT,nameDest_M5"
60,0.10693138762866612,0.9282329666216386,0.4745349986903733,0.059911028,"idx,amount,step,type_PAYMENT,nameDest_M5"
61,0.40097828355214815,0.998721632637578,0.6245445659412812,0.0030576407,"idx,amount,step,type_PAYMENT,nameDest_M5"
62,0.7302527783711856,0.9994142799517766,0.7728835274362921,0.007854833,"idx,amount,step,type_PAYMENT,nameDest_M5"
63,0.2932412636420433,0.9978249791943347,0.5764930132050885,0.0049980143,"idx,amount,step,type_PAYMENT,nameDest_M5"
64,0.5884556709563135,0.9980606016065318,0.7073466762615556,0.00047491066,"idx,amount,step,type_PAYMENT,nameDest_M5"
65,0.38971205399222947,0.9979514664444524,0.6186497026949602,0.00071457296,"idx,amount,step,type_PAYMENT,nameDest_M5"
66,0.7331698858816491,0.9998576313299892,0.7734938346323759,0.0038688031,"idx,amount,step,type_PAYMENT,nameDest_M5"
67,0.7322458431398616,0.9977191997342454,0.7719459983120742,0.0030576407,"idx,amount,step,type_PAYMENT,nameDest_M5"
68,0.587161599032166,0.9982260234790813,0.7082362140628453,0.006718377,"idx,amount,step,type_PAYMENT,nameDest_M5"
69,0.2785909229992077,0.9978839258207239,0.5704620814087037,0.0071551967,"idx,amount,step,type_PAYMENT,nameDest_M5"
70,0.7456844864761708,0.9976900675950119,0.7783638362573175,0.0049980143,"idx,amount,step,type_PAYMENT,nameDest_M5"
71,0.7023821084998462,0.9978161076972324,0.7617245821546486,0.016787434,"idx,amount,step,type_PAYMENT,nameDest_M5"
72,0.7548432033594719,0.9981086874693426,0.7845480374621814,0.013555772,"idx,amount,step,type_PAYMENT,nameDest_M5"
73,0.6745298055268508,0.9983561167980873,0.747835603512722,0.009173206,"idx,amount,step,type_PAYMENT,nameDest_M5"
74,0.536000204506592,0.9983465114461599,0.6844207395035784,0.0020791008,"idx,amount,step,type_PAYMENT,nameDest_M5"
75,0.3765018384894483,0.998465314055485,0.7578568245319629,0.6499175,"idx,amount,step,type_PAYMENT,nameDest_M5"
76,0.48021049156655143,0.9985095791311737,0.6729648567424981,0.06199668,"idx,amount,step,type_PAYMENT,nameDest_M5"
77,0.6348246779551973,0.9979327957191708,0.72941437001486,0.006881502,"idx,amount,step,type_PAYMENT,nameDest_M5"
78,0.8483897237125411,0.998443116755425,0.8693889892476113,0.20598024,"idx,amount,step,type_PAYMENT,nameDest_M5"
79,0.7424949522109393,0.9983458771045076,0.7899526103762466,0.06199668,"idx,amount,step,type_PAYMENT,nameDest_M5"
80,0.2907164439093284,0.9229107356413224,0.5435486223068131,0.012246864,"idx,amount,step,type_PAYMENT,nameDest_M5"
81,0.5128297230373517,0.9980918240502278,0.6772936231270791,0.016991649,"idx,amount,step,type_PAYMENT,nameDest_M5"
82,0.594804500189829,0.9997016515790622,0.7127477472452765,0.008698246,"idx,amount,step,type_PAYMENT,nameDest_M5"
83,0.23406740682149044,0.9978229366290751,0.69209820070581,0.6413958,"idx,amount,step,type_PAYMENT,nameDest_M5"
84,0.2814343809822055,0.9979135911574046,0.5738702290580415,0.016681425,"idx,amount,step,type_PAYMENT,nameDest_M5"
85,0.7309920984069387,0.9981011122689952,0.7969732635882362,0.11695263,"idx,amount,step,type_PAYMENT,nameDest_M5"
86,0.6916591516974906,0.9995087947557256,0.7559641671775497,0.009034599,"idx,amount,step,type_PAYMENT,nameDest_M5"
87,0.5499940696719112,0.9990808798985578,0.6934801924880708,0.013219544,"idx,amount,step,type_PAYMENT,nameDest_M5"
88,0.3639138094285079,0.998310602673412,0.6086721009785551,0.006881502,"idx,amount,step,type_PAYMENT,nameDest_M5"
89,0.4654917309139241,0.9980843594815959,0.6543959005721371,0.009074071,"idx,amount,step,type_PAYMENT,nameDest_M5"
90,0.7093723397138358,0.9983722626340694,0.7628820578898059,0.006881502,"idx,amount,step,type_PAYMENT,nameDest_M5"
91,0.611361722749371,0.9996799061268035,0.7224541832638192,0.01912344,"idx,amount,step,type_PAYMENT,nameDest_M5"
92,0.5707130500409471,0.9981622848164747,0.7925564850311726,0.41759607,"idx,amount,step,type_PAYMENT,nameDest_M5"
93,0.6039616204685643,0.9982919034687229,0.7151823023076898,0.004113147,"idx,amount,step,type_PAYMENT,nameDest_M5"
94,0.42826140802445195,0.998179679699623,0.6367898414523417,0.0044484073,"idx,amount,step,type_PAYMENT,nameDest_M5"
95,0.3973466013987654,1.0,0.6271943000335619,0.019638168,"idx,amount,step,type_PAYMENT,nameDest_M5"
96,0.688599109622916,0.9997116752175583,0.7573733858346056,0.021063864,"idx,amount,step,type_PAYMENT,nameDest_M5"
97,0.4230858723039207,0.9980672024427297,0.6356651887183786,0.009984678,"idx,amount,step,type_PAYMENT,nameDest_M5"
98,0.3897505036212944,0.9986221765081511,0.6232543347089267,0.019930372,"idx,amount,step,type_PAYMENT,nameDest_M5"
99,0.7679599955138064,0.9991205568531194,0.7893173025066942,0.0066703153,"idx,amount,step,type_PAYMENT,nameDest_M5"
